"[-12, -5, 2, 9, 16]"
"[-5, -3, 2, 16, 23]"
"[-5, -3, 9, 16, 19]"
"[-12, -5, 9, 11, 19]"
"[-5, -3, 7, 11, 19]"
"[-5, -3, 7, 14, 21]"
"[-7, -5, 9, 14, 21]"
"[-7, -5, 9, 9, 16]"
"[-5, 2, 9, 14, 23]"
"[-5, 2, 2, 14, 19]"
"[-5, 2, 7, 16, 21]"
"[-7, -5, 2, 16, 16]"
"[-7, -5, 2, 9, 23]"
"[-12, 2, 9, 11, 23]"
"[-12, 2, 9, 14, 21]"
"[-5, 2, 4, 14, 21]"
"[-7, -5, 2, 14, 19]"
"[-5, 2, 9, 9, 19]"
"[-7, -5, 2, 16, 19]"
"[-7, -5, 9, 11, 16]"
"[-5, -3, 4, 11, 16]"
"[-5, -3, 7, 9, 16]"
"[-7, -5, 7, 9, 19]"
"[-7, -5, 9, 11, 21]"
"[-7, -5, 9, 12, 23]"
"[-5, 2, 7, 9, 23]"
"[-10, 2, 9, 16, 23]"
"[-10, -3, 9, 16, 16]"
"[-5, -3, 7, 16, 18]"
"[-12, -5, 7, 9, 16]"
"[-5, 2, 9, 14, 16]"
"[-5, -3, 2, 16, 19]"
"[-5, 2, 9, 16, 18]"
"[-12, 2, 7, 9, 16]"
"[-12, 2, 4, 9, 19]"
"[-7, 0, 2, 9, 19]"
"[-12, 0, 2, 9, 16]"
