"[-12, -5, 2, 9, 16]"
"[-5, 2, 9, 14, 19]"
"[-7, -5, 9, 14, 21]"
"[-5, 2, 9, 9, 21]"
"[-10, -3, 2, 9, 23]"
"[-10, 2, 2, 9, 21]"
"[-12, 2, 4, 14, 21]"
"[-12, 2, 9, 16, 21]"
"[-12, -5, 2, 16, 23]"
"[-5, 2, 4, 16, 21]"
"[-5, -3, 4, 9, 16]"
"[-5, -3, 9, 11, 23]"
"[-12, -5, 9, 11, 18]"
"[-5, 2, 9, 11, 16]"
"[-7, -5, 2, 9, 23]"
"[-7, -5, 9, 14, 16]"
"[-5, 2, 2, 9, 16]"
"[-7, -5, 2, 12, 19]"
"[-12, 2, 4, 12, 19]"
"[-12, 2, 2, 12, 16]"
"[-7, 0, 2, 16, 21]"
"[-12, 0, 2, 16, 19]"
"[-12, 2, 9, 9, 19]"
"[-10, -3, 2, 9, 16]"
"[-10, 2, 4, 16, 18]"
"[-10, -3, 2, 16, 16]"
"[-5, -3, 7, 16, 21]"
"[-12, -5, 7, 9, 16]"
"[-5, 2, 7, 9, 19]"
"[-5, -3, 2, 9, 21]"
"[-5, -3, 9, 11, 16]"
"[-10, -3, 9, 11, 18]"
"[-12, 2, 9, 11, 18]"
"[-12, -5, 2, 9, 23]"
"[-12, 2, 2, 9, 21]"
"[-5, 2, 7, 14, 21]"
"[-5, -3, 2, 16, 21]"
"[-5, -3, 4, 14, 16]"
"[-5, -3, 4, 9, 18]"
